episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
280,11.0,-0.2622101210009487,-2.199076848797483,-179.38038276060948,22.142354810641855,2.062025823760255,[22.142354810641855 2.062025823760255],0.29089704708998115,False,True,1.0166688844199716,2,59.99785047027138,1187.561,in_progress,0.0,0
280,12.0,-0.34454175055050723,-2.195982267124902,179.99632692336655,30.0,2.623016633300263,[30.0 2.623016633300263],0.3371944710131437,False,True,1.1538751190087726,2,59.99785047027138,1187.61,in_progress,0.0,0
280,13.0,-0.41761448789924227,-2.210022656521206,-176.83366772370596,-1.3682018824082895,1.6026290280241602,[-1.3682018824082895 1.6026290280241602],0.3706290774557885,False,True,1.275672039031586,2,59.99785047027138,1187.698,in_progress,0.0,0
280,14.0,-0.5105812241883482,-2.2284416537606155,-173.95982442070158,24.57445139032599,0.5,[24.57445139032599 0.5],0.2523628260468325,False,True,1.430628265571613,3,59.99785047027138,1187.759,in_progress,0.0,0
280,15.0,-0.5969830510077542,-2.2465417124576224,-171.9576197036895,7.762312256743968,0.7438042924998384,[7.762312256743968 0.7438042924998384],0.3473455023369157,False,True,1.5746424786096374,3,59.99785047027138,1187.832,in_progress,0.0,0
280,16.0,-0.6619727036249536,-2.2649682974639695,-169.91102155379426,-14.223225590645857,0.5,[-14.223225590645857 0.5],0.3074729153621909,False,True,1.6828168734861748,3,59.99785047027138,1187.89,in_progress,0.0,0
280,17.0,-0.722645766022677,-2.2793547553065197,-168.95543755815783,4.303506918510365,1.103551414894362,[4.303506918510365 1.103551414894362],0.35329912676392555,False,True,1.7839232441568746,3,59.99785047027138,1187.962,in_progress,0.0,0
280,18.0,-0.7922572564726409,-2.298812955144808,-167.63839173998812,-3.320954622226516,0.5,[-3.320954622226516 0.5],0.31802424769690063,False,True,1.8999208289088902,4,59.99785047027138,1188.024,in_progress,0.0,0
280,19.0,-0.8459995312664319,-2.3139664994770657,-166.75633750497227,-30.0,1.6337260406376912,[-30.0 1.6337260406376912],0.3205532071296267,False,True,1.9894744640747242,4,59.99785047027138,1188.092,in_progress,0.0,0
280,20.0,-0.9151662512668299,-2.3226010971644593,-168.4571455262976,-13.210195475572458,2.662208932308368,[-13.210195475572458 2.662208932308368],0.48293300565305536,False,True,2.1047450263394376,4,59.99785047027138,1188.161,in_progress,0.0,0
280,21.0,-1.0092383392635156,-2.3262723001535024,-171.6933402922882,-19.72274458118032,3.2722336822854294,[-19.72274458118032 3.2722336822854294],0.4375029831155688,False,True,2.2616820755250466,4,59.99785047027138,1188.225,in_progress,0.0,0
280,22.0,-1.0901237473084253,-2.3278381254086136,-174.04867074551353,-30.0,2.8599057166526847,[-30.0 2.8599057166526847],0.4230014603852185,False,True,2.3964953750421767,5,59.99785047027138,1188.29,in_progress,0.0,0
280,23.0,-1.1894107996332757,-2.322035772334015,-177.53099181639868,-30.0,4.0,[-30.0 4.0],0.5110299546422872,False,True,2.561981724476707,5,59.99785047027138,1188.348,in_progress,0.0,0
280,24.0,-1.315901205166892,-2.2997852627320285,176.45172448527228,4.200452654896502,0.5,[4.200452654896502 0.5],0.3774819496547666,False,True,2.773053808299479,5,59.99785047027138,1188.422,in_progress,0.0,0
280,25.0,-1.4310252914109796,-2.269256587864842,168.9606855288127,-30.0,0.5,[-30.0 0.5],0.31384469230813394,False,True,2.964886999495488,6,59.99785047027138,1188.482,in_progress,0.0,0
280,26.0,-1.5355008366821177,-2.24130293679208,162.9259267434094,-23.466865297379762,2.779987956184016,[-23.466865297379762 2.779987956184016],0.5315825427444637,False,True,3.1389759650794984,6,59.99785047027138,1188.563,in_progress,0.0,0
280,27.0,-1.656197410718009,-2.20013221027807,159.07967054416443,30.0,0.5,[30.0 0.5],0.36587940259166385,False,True,3.3400571441596854,6,59.99785047027138,1188.621,in_progress,0.0,0
280,28.0,-1.7550183078300496,-2.159054155652731,156.74617812420257,30.0,0.5,[30.0 0.5],0.37459594994594747,False,True,3.5047369171610785,7,59.99785047027138,1188.69,in_progress,0.0,0
