episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
220,32.0,-3.222948181468321,-2.0175413948413436,170.96525190813816,30.0,0.5,[30.0 0.5],0.8479171918224356,False,True,5.950945095342222,11,59.99785047027138,842.472,in_progress,0.0,0
220,33.0,-3.3312157434096195,-1.9916899441185467,169.1414511869449,30.0,2.2510040182734308,[30.0 2.2510040182734308],1.2410784417521261,False,True,6.131324217332452,12,59.99785047027138,842.547,in_progress,0.0,0
220,34.0,-3.4425397834927893,-1.9763831584908624,170.4507904806914,-20.288378893525653,0.5,[-20.288378893525653 0.5],0.8644614114506939,False,True,6.317260622194803,12,59.99785047027138,842.607,in_progress,0.0,0
220,35.0,-3.5431668983673803,-1.9685887082917637,172.57030442396416,15.76416491328456,1.764535732903585,[15.76416491328456 1.764535732903585],1.1491014268904631,False,True,6.484973570894952,12,59.99785047027138,842.669,in_progress,0.0,0
220,36.0,-3.6304821697364433,-1.9589389135538167,173.0420878930189,7.888054659522453,0.5,[7.888054659522453 0.5],1.0935461525528292,False,True,6.630498152662545,13,59.99785047027138,842.741,in_progress,0.0,0
220,37.0,-3.7312124803314295,-1.9592374795592433,175.47241406113113,28.053201246565706,0.5755091456488364,[28.053201246565706 0.5755091456488364],0.8980501671484978,False,True,6.798388194345696,13,59.99785047027138,842.805,in_progress,0.0,0
220,38.0,-3.812244395140618,-1.9687783869212587,179.39853521463772,30.0,4.0,[30.0 4.0],1.6542246433783516,False,True,6.931763336032071,13,59.99785047027138,842.873,in_progress,0.0,0
220,39.0,-3.8948255640167204,-1.9916420321191977,-174.8969026529235,30.0,0.9019818395353004,[30.0 0.9019818395353004],0.9760924606916673,False,True,7.0696041453991,13,59.99785047027138,842.939,in_progress,0.0,0
220,40.0,-3.969599070065882,-2.027166095163265,-168.3968058098563,30.0,4.0,[30.0 4.0],1.6598183849085786,False,True,7.194544055187155,14,59.99785047027138,843.005,in_progress,0.0,0
220,41.0,-4.041082771977812,-2.0667122984670767,-162.63265676235554,2.2615769162788837,2.1185203452923926,[2.2615769162788837 2.1185203452923926],1.5595393948525829,False,True,7.31403646981842,14,59.99785047027138,843.072,in_progress,0.0,0
